i,problem_size,np,N,number_of_iterations,time
1,50,36,8,50,0.0589144229888916
1,200,36,33,50,0.5407619476318359
1,2000,36,333,50,52.70907425880432
1,50,25,10,50,0.1535027027130127
1,200,25,40,50,1.3134188652038574
1,2000,25,400,50,112.89228558540344
1,50,16,12,50,0.0762629508972168
1,200,16,50,50,0.9692761898040771
1,2000,16,500,50,90.56693959236145
1,50,9,16,50,0.1015634536743164
1,200,9,66,50,1.6302833557128906
1,2000,9,666,50,140.63299655914307
1,50,4,25,50,0.2407231330871582
1,200,4,100,50,3.316082239151001
1,2000,4,1000,50,288.1979877948761
1,50,1,50,50,0.7153351306915283
1,200,1,200,50,11.057472705841064
1,2000,1,2000,50,1100.885463476181
2,50,36,8,50,0.06633687019348145
2,200,36,33,50,0.5404973030090332
2,2000,36,333,50,48.202337980270386
2,50,25,10,50,0.14787864685058594
2,200,25,40,50,1.1676461696624756
2,2000,25,400,50,112.88309073448181
2,50,16,12,50,0.0708775520324707
2,200,16,50,50,0.9859209060668945
2,2000,16,500,50,92.17098498344421
2,50,9,16,50,0.10698747634887695
2,200,9,66,50,1.5145339965820312
2,2000,9,666,50,142.1750192642212
2,50,4,25,50,0.24453115463256836
2,200,4,100,50,2.8798656463623047
2,2000,4,1000,50,296.0682170391083
2,50,1,50,50,0.7059512138366699
2,200,1,200,50,11.05929684638977
2,2000,1,2000,50,1180.2112119197845
3,50,36,8,50,0.06050705909729004
3,200,36,33,50,0.5226647853851318
3,2000,36,333,50,50.54564547538757
3,50,25,10,50,0.11853694915771484
3,200,25,40,50,1.010270357131958
3,2000,25,400,50,112.58356165885925
3,50,16,12,50,0.07576847076416016
3,200,16,50,50,0.9333839416503906
3,2000,16,500,50,91.97774052619934
3,50,9,16,50,0.12192249298095703
3,200,9,66,50,1.673499345779419
3,2000,9,666,50,137.54084873199463
3,50,4,25,50,0.21239399909973145
3,200,4,100,50,3.079655408859253
3,2000,4,1000,50,304.4675419330597
3,50,1,50,50,0.8411216735839844
3,200,1,200,50,11.131728172302246
